,n_total,n_fd,n_nofd,n_train_full,n_train_quantum,n_test,n_qubits,reps,C,min_magn,auc_rbf_full,acc_rbf_full,auc_rbf_sub,acc_rbf_sub,auc_qsvm,acc_qsvm,delta_auc_fair,delta_auc_full,File
0,5942,2971,2971,4456,100,1486,4,1,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535564777764293,0.8156123822341858,0.7984128220502165,0.7288021534320323,-0.0551436557262128,-0.0629137993185388,Results/exp_0.0_4_1_100.csv
0,5942,2971,2971,4456,150,1486,4,1,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8552211850759625,0.8156123822341858,0.7865651418624072,0.7267833109017496,-0.0686560432135552,-0.074761479506348,Results/exp_0.0_4_1_150.csv
0,5942,2971,2971,4456,200,1486,4,1,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8533409172011904,0.8156123822341858,0.8086918009089772,0.7362045760430687,-0.0446491162922132,-0.052634820459778,Results/exp_0.0_4_1_200.csv
0,5942,2971,2971,4456,250,1486,4,1,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535582892098347,0.8142664872139973,0.8170896061762634,0.7456258411843876,-0.0364686830335713,-0.0442370151924919,Results/exp_0.0_4_1_250.csv
0,5942,2971,2971,4456,50,1486,4,1,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8523799517796428,0.8088829071332436,0.7384072790639962,0.6608344549125168,-0.1139726727156466,-0.1229193423047591,Results/exp_0.0_4_1_50.csv
0,5942,2971,2971,4456,100,1486,4,2,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535564777764293,0.8156123822341858,0.7409396629647005,0.6628532974427994,-0.1126168148117288,-0.1203869584040547,Results/exp_0.0_4_2_100.csv
0,5942,2971,2971,4456,150,1486,4,2,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8552211850759625,0.8156123822341858,0.727484335629627,0.6675639300134589,-0.1277368494463354,-0.1338422857391282,Results/exp_0.0_4_2_150.csv
0,5942,2971,2971,4456,200,1486,4,2,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8533409172011904,0.8156123822341858,0.7739186195428305,0.6971736204576043,-0.0794222976583599,-0.0874080018259247,Results/exp_0.0_4_2_200.csv
0,5942,2971,2971,4456,250,1486,4,2,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535582892098347,0.8142664872139973,0.7714858644794211,0.7065948855989233,-0.0820724247304135,-0.0898407568893341,Results/exp_0.0_4_2_250.csv
0,5942,2971,2971,4456,50,1486,4,2,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8523799517796428,0.8088829071332436,0.6748975181550914,0.6029609690444145,-0.1774824336245514,-0.1864291032136639,Results/exp_0.0_4_2_50.csv
0,5942,2971,2971,4456,100,1486,4,3,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535564777764293,0.8156123822341858,0.755108695061489,0.6830417227456258,-0.0984477827149402,-0.1062179263072662,Results/exp_0.0_4_3_100.csv
0,5942,2971,2971,4456,150,1486,4,3,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8552211850759625,0.8156123822341858,0.7330182646830264,0.6635262449528937,-0.122202920392936,-0.1283083566857288,Results/exp_0.0_4_3_150.csv
0,5942,2971,2971,4456,200,1486,4,3,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8533409172011904,0.8156123822341858,0.7702631469307979,0.6965006729475101,-0.0830777702703925,-0.0910634744379573,Results/exp_0.0_4_3_200.csv
0,5942,2971,2971,4456,250,1486,4,3,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8535582892098347,0.8142664872139973,0.7483900885609791,0.6783310901749664,-0.1051682006488555,-0.1129365328077761,Results/exp_0.0_4_3_250.csv
0,5942,2971,2971,4456,50,1486,4,3,1.0,0.0,0.8613266213687553,0.8223418573351279,0.8523799517796428,0.8088829071332436,0.6546773927676709,0.6029609690444145,-0.1977025590119718,-0.2066492286010843,Results/exp_0.0_4_3_50.csv
0,5942,2971,2971,4456,100,1486,6,1,1.0,0.0,0.8627259536744021,0.823014804845222,0.8505984070254633,0.8129205921938089,0.7959148553842141,0.7227456258411844,-0.0546835516412491,-0.0668110982901879,Results/exp_0.0_6_1_100.csv
0,5942,2971,2971,4456,150,1486,6,1,1.0,0.0,0.8627259536744021,0.823014804845222,0.8532485340975167,0.8176312247644684,0.7966702231142526,0.7335127860026918,-0.056578310983264,-0.0660557305601494,Results/exp_0.0_6_1_150.csv
0,5942,2971,2971,4456,200,1486,6,1,1.0,0.0,0.8627259536744021,0.823014804845222,0.8500567884372583,0.8156123822341858,0.8190332742202232,0.7476446837146703,-0.031023514217035,-0.0436926794541788,Results/exp_0.0_6_1_200.csv
0,5942,2971,2971,4456,250,1486,6,1,1.0,0.0,0.8627259536744021,0.823014804845222,0.8514986894279312,0.8142664872139973,0.8365742896011042,0.7759084791386271,-0.0149243998268269,-0.0261516640732978,Results/exp_0.0_6_1_250.csv
